Year,State Code,Producer Type,Fuel Source,Generators,Facilities,Nameplate Capacity (Megawatts),Summer Capacity (Megawatts)
2014,CT,"Electric Generators, Independent Power Producers",Other Biomass,12.0,7.0,209.9,158.5
2014,CT,"Electric Generators, Independent Power Producers",Petroleum,46.0,15.0,3133.4,2800.1
2014,CT,"Electric Generators, Independent Power Producers",Pumped Storage,3.0,1.0,31.0,29.4
2014,CT,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,3.0,3.0,10.0,10.0
2014,CT,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,1.0,1.0,43.0,37.5
2014,CT,Industrial Power,All Sources,14.0,8.0,128.3,123.7
2014,CT,Industrial Power,Natural Gas,14.0,8.0,128.3,123.7
2014,CT,Total Electric Power Industry,All Sources,199.0,85.0,9667.3,8832.2
2014,CT,Total Electric Power Industry,Coal,1.0,1.0,400.0,383.4
2014,CT,Total Electric Power Industry,Hydroelectric,39.0,14.0,118.5,122.2
2014,CT,Total Electric Power Industry,Natural Gas,60.0,31.0,3430.4,3051.5
2014,CT,Total Electric Power Industry,Nuclear,2.0,1.0,2162.9,2122.5
2014,CT,Total Electric Power Industry,Other,2.0,2.0,36.3,30.9
2014,CT,Total Electric Power Industry,Other Biomass,13.0,8.0,220.9,166.9
2014,CT,Total Electric Power Industry,Petroleum,75.0,28.0,3214.3,2877.9
2014,CT,Total Electric Power Industry,Pumped Storage,3.0,1.0,31.0,29.4
2014,CT,Total Electric Power Industry,Solar Thermal and Photovoltaic,3.0,3.0,10.0,10.0
2014,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,1.0,1.0,43.0,37.5
2014,DC,Commercial Power,All Sources,2.0,1.0,10.8,9.0
2014,DC,Commercial Power,Natural Gas,2.0,1.0,10.8,9.0
2014,DC,Total Electric Power Industry,All Sources,2.0,1.0,10.8,9.0
2014,DC,Total Electric Power Industry,Natural Gas,2.0,1.0,10.8,9.0
2014,DE,"Combined Heat and Power, Electric Power",All Sources,3.0,1.0,118.0,104.0
2014,DE,"Combined Heat and Power, Electric Power",Natural Gas,3.0,1.0,118.0,104.0
2014,DE,Commercial Power,All Sources,4.0,2.0,3.3,3.3
2014,DE,Commercial Power,Solar Thermal and Photovoltaic,3.0,1.0,1.3,1.3
2014,DE,Commercial Power,Wind,1.0,1.0,2.0,2.0
2014,DE,"Electric Generators, Electric Utilities",All Sources,3.0,2.0,100.0,102.0
2014,DE,"Electric Generators, Electric Utilities",Natural Gas,2.0,1.0,96.0,98.0
2014,DE,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,1.0,1.0,4.0,4.0
2014,DE,"Electric Generators, Independent Power Producers",All Sources,43.0,16.0,2718.6,2609.7
2014,DE,"Electric Generators, Independent Power Producers",Coal,1.0,1.0,445.5,410.0
2014,DE,"Electric Generators, Independent Power Producers",Natural Gas,22.0,6.0,2117.2,2051.0
2014,DE,"Electric Generators, Independent Power Producers",Other Biomass,10.0,2.0,10.0,10.0
2014,DE,"Electric Generators, Independent Power Producers",Petroleum,6.0,5.0,121.6,114.4
2014,DE,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,4.0,4.0,24.3,24.3
2014,DE,Industrial Power,All Sources,8.0,2.0,326.2,267.2
2014,DE,Industrial Power,Natural Gas,2.0,1.0,184.0,130.0
2014,DE,Industrial Power,Other Biomass,2.0,1.0,2.2,2.2
2014,DE,Industrial Power,Other Gases,4.0,1.0,140.0,135.0
2014,DE,Total Electric Power Industry,All Sources,61.0,23.0,3266.1,3086.2
2014,DE,Total Electric Power Industry,Coal,1.0,1.0,445.5,410.0
2014,DE,Total Electric Power Industry,Natural Gas,29.0,9.0,2515.2,2383.0
2014,DE,Total Electric Power Industry,Other Biomass,12.0,3.0,12.2,12.2
2014,DE,Total Electric Power Industry,Other Gases,4.0,1.0,140.0,135.0
2014,DE,Total Electric Power Industry,Petroleum,6.0,5.0,121.6,114.4
2014,DE,Total Electric Power Industry,Solar Thermal and Photovoltaic,8.0,6.0,29.6,29.6
2014,DE,Total Electric Power Industry,Wind,1.0,1.0,2.0,2.0
2014,FL,"Combined Heat and Power, Electric Power",All Sources,20.0,9.0,1752.6,1508.8
2014,FL,"Combined Heat and Power, Electric Power",Coal,2.0,2.0,687.0,580.0
2014,FL,"Combined Heat and Power, Electric Power",Natural Gas,14.0,6.0,934.3,821.5
2014,FL,"Combined Heat and Power, Electric Power",Other Biomass,2.0,1.0,128.9,104.9
2014,FL,"Combined Heat and Power, Electric Power",Petroleum,2.0,1.0,2.4,2.4
2014,FL,Commercial Power,All Sources,29.0,8.0,41.5,40.5
2014,FL,Commercial Power,Natural Gas,15.0,3.0,24.4,23.4
2014,FL,Commercial Power,Other Biomass,13.0,4.0,16.1,16.1
2014,FL,Commercial Power,Solar Thermal and Photovoltaic,1.0,1.0,1.0,1.0
2014,FL,"Electric Generators, Electric Utilities",All Sources,393.0,66.0,59110.9,51775.3
2014,FL,"Electric Generators, Electric Utilities",Coal,26.0,11.0,10537.9,9517.0
2014,FL,"Electric Generators, Electric Utilities",Hydroelectric,6.0,2.0,55.7,54.5
2014,FL,"Electric Generators, Electric Utilities",Natural Gas,249.0,47.0,36118.1,31018.3
2014,FL,"Electric Generators, Electric Utilities",Nuclear,4.0,2.0,3797.2,3572.0
2014,FL,"Electric Generators, Electric Utilities",Other,5.0,3.0,550.2,428.0
2014,FL,"Electric Generators, Electric Utilities",Other Biomass,2.0,1.0,3.2,3.0
2014,FL,"Electric Generators, Electric Utilities",Petroleum,99.0,21.0,8013.6,7147.5
2014,FL,"Electric Generators, Electric Utilities",Solar Thermal and Photovoltaic,2.0,2.0,35.0,35.0
2014,FL,"Electric Generators, Independent Power Producers",All Sources,84.0,39.0,6076.5,5172.4
2014,FL,"Electric Generators, Independent Power Producers",Natural Gas,29.0,9.0,5157.0,4412.3
2014,FL,"Electric Generators, Independent Power Producers",Other Biomass,45.0,20.0,704.8,559.9
2014,FL,"Electric Generators, Independent Power Producers",Solar Thermal and Photovoltaic,7.0,7.0,39.1,36.9
2014,FL,"Electric Generators, Independent Power Producers",Wood and Wood Derived Fuels,3.0,3.0,175.6,163.3
2014,FL,Industrial Power,All Sources,47.0,21.0,1133.3,943.0
2014,FL,Industrial Power,Coal,2.0,1.0,118.4,80.0
2014,FL,Industrial Power,Natural Gas,13.0,8.0,220.1,178.4
2014,FL,Industrial Power,Other,12.0,6.0,402.3,348.7
2014,FL,Industrial Power,Other Biomass,5.0,2.0,77.0,62.0
2014,FL,Industrial Power,Wood and Wood Derived Fuels,15.0,5.0,315.5,273.9
2014,FL,Total Electric Power Industry,All Sources,573.0,143.0,68114.8,59440.0
2014,FL,Total Electric Power Industry,Coal,30.0,14.0,11343.3,10177.0
2014,FL,Total Electric Power Industry,Hydroelectric,6.0,2.0,55.7,54.5
2014,FL,Total Electric Power Industry,Natural Gas,320.0,73.0,42453.9,36453.9
2014,FL,Total Electric Power Industry,Nuclear,4.0,2.0,3797.2,3572.0
2014,FL,Total Electric Power Industry,Other,17.0,9.0,952.5,776.7
2014,FL,Total Electric Power Industry,Other Biomass,67.0,28.0,930.0,745.9
2014,FL,Total Electric Power Industry,Petroleum,101.0,22.0,8016.0,7149.9
2014,FL,Total Electric Power Industry,Solar Thermal and Photovoltaic,10.0,10.0,75.1,72.9
2014,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,18.0,8.0,491.1,437.2
2014,GA,"Combined Heat and Power, Electric Power",All Sources,4.0,2.0,324.9,304.9
2014,GA,"Combined Heat and Power, Electric Power",Natural Gas,3.0,1.0,323.0,303.0
2014,GA,"Combined Heat and Power, Electric Power",Other Biomass,1.0,1.0,1.9,1.9
