Year,State,Sector,Price,Customers,Sales,Revenue,Use_per_Customer,Total_Summer_Capacity,IPP_Capacity,Utility_Capacity,Renewable_Capacity,IPP_Share,Renewable_Share,Fossil_Capacity,Fossil_Share
2014,MI,Transportation,9.43,2,4245,400,2122.5,121739.6,9711.6,44519.0,3196.2,0.15954709888976143,0.026254398733033455,44866.6,0.3685456498953504
2014,MN,Commercial,9.85,284978,22827840,2249026,80.1038676669778,62484.8,6639.2,23114.8,6016.4,0.21250608147901567,0.09628581671062401,21167.800000000003,0.33876718818016543
2014,MN,Industrial,6.72,9898,23076348,1551691,2331.415235401091,62484.8,6639.2,23114.8,6016.4,0.21250608147901567,0.09628581671062401,21167.800000000003,0.33876718818016543
2014,MN,Residential,12.01,2345860,22791466,2737895,9.715612184870368,62484.8,6639.2,23114.8,6016.4,0.21250608147901567,0.09628581671062401,21167.800000000003,0.33876718818016543
2014,MN,Transportation,9.79,1,23713,2321,23713.0,62484.8,6639.2,23114.8,6016.4,0.21250608147901567,0.09628581671062401,21167.800000000003,0.33876718818016543
2014,MO,Commercial,8.9,371495,30665251,2728701,82.54552820360973,87158.4,2184.2,41075.2,932.4,0.05012024084884532,0.010697764070932923,37775.600000000006,0.4334131879428719
2014,MO,Industrial,6.36,10282,17398747,1106218,1692.1559035207158,87158.4,2184.2,41075.2,932.4,0.05012024084884532,0.010697764070932923,37775.600000000006,0.4334131879428719
2014,MO,Residential,10.64,2724541,35792644,3807788,13.137128052027846,87158.4,2184.2,41075.2,932.4,0.05012024084884532,0.010697764070932923,37775.600000000006,0.4334131879428719
2014,MO,Transportation,7.81,1,21755,1700,21755.0,87158.4,2184.2,41075.2,932.4,0.05012024084884532,0.010697764070932923,37775.600000000006,0.4334131879428719
2014,MS,Commercial,10.76,230416,14174583,1525368,61.517355565585724,64361.2,4585.2,26987.0,546.2,0.1424833595395984,0.008486479431707303,28494.8,0.44273257801284005
2014,MS,Industrial,6.6,10922,16311951,1077019,1493.4948727339315,64361.2,4585.2,26987.0,546.2,0.1424833595395984,0.008486479431707303,28494.8,0.44273257801284005
2014,MS,Residential,11.32,1263583,18922097,2141264,14.974953762435867,64361.2,4585.2,26987.0,546.2,0.1424833595395984,0.008486479431707303,28494.8,0.44273257801284005
2014,MS,Transportation,0.0,0,0,0,,64361.2,4585.2,26987.0,546.2,0.1424833595395984,0.008486479431707303,28494.8,0.44273257801284005
2014,MT,Commercial,9.64,103132,4903160,472750,47.5425668075864,25320.0,6129.8,6417.2,1279.4,0.48418641390205375,0.05052922590837283,5774.4,0.22805687203791467
2014,MT,Industrial,5.49,9597,4229989,232314,440.761592164218,25320.0,6129.8,6417.2,1279.4,0.48418641390205375,0.05052922590837283,5774.4,0.22805687203791467
2014,MT,Residential,10.18,485041,4969243,505962,10.24499578386157,25320.0,6129.8,6417.2,1279.4,0.48418641390205375,0.05052922590837283,5774.4,0.22805687203791467
2014,MT,Transportation,0.0,0,0,0,,25320.0,6129.8,6417.2,1279.4,0.48418641390205375,0.05052922590837283,5774.4,0.22805687203791467
2014,NC,Commercial,8.75,655841,47509563,4157748,72.44067235808679,121992.0,4912.0,53882.2,2355.4,0.08052987081120073,0.019307823463833695,44010.8,0.3607679192078169
2014,NC,Industrial,6.5,10356,26964549,1751829,2603.76100811124,121992.0,4912.0,53882.2,2355.4,0.08052987081120073,0.019307823463833695,44010.8,0.3607679192078169
2014,NC,Residential,11.1,4303476,58649994,6511383,13.628516575902829,121992.0,4912.0,53882.2,2355.4,0.08052987081120073,0.019307823463833695,44010.8,0.3607679192078169
2014,NC,Transportation,7.84,1,8670,680,8670.0,121992.0,4912.0,53882.2,2355.4,0.08052987081120073,0.019307823463833695,44010.8,0.3607679192078169
2014,ND,Commercial,8.79,67871,5403497,474723,79.61422404266918,27159.6,2465.6,11032.2,3518.4,0.18156379328119707,0.1295453541289268,8994.400000000001,0.33116835299488956
2014,ND,Industrial,7.62,8607,7478721,569870,868.9114674102475,27159.6,2465.6,11032.2,3518.4,0.18156379328119707,0.1295453541289268,8994.400000000001,0.33116835299488956
2014,ND,Residential,9.15,360171,5357514,490071,14.874917747403316,27159.6,2465.6,11032.2,3518.4,0.18156379328119707,0.1295453541289268,8994.400000000001,0.33116835299488956
2014,ND,Transportation,0.0,0,0,0,,27159.6,2465.6,11032.2,3518.4,0.18156379328119707,0.1295453541289268,8994.400000000001,0.33116835299488956
2014,NE,Commercial,8.73,151382,9525524,831284,62.923755796594044,34929.6,1481.2,15826.8,1623.8,0.08481059044478037,0.04648779258852091,12768.8,0.36555815125280566
2014,NE,Industrial,7.47,57429,10668406,797052,185.76687736161173,34929.6,1481.2,15826.8,1623.8,0.08481059044478037,0.04648779258852091,12768.8,0.36555815125280566
2014,NE,Residential,10.4,817425,10028238,1043023,12.268083310395449,34929.6,1481.2,15826.8,1623.8,0.08481059044478037,0.04648779258852091,12768.8,0.36555815125280566
2014,NE,Transportation,0.0,0,0,0,,34929.6,1481.2,15826.8,1623.8,0.08481059044478037,0.04648779258852091,12768.8,0.36555815125280566
2014,NH,Commercial,14.34,105840,4464530,640173,42.1818783068783,17673.2,6536.8,2242.6,761.8,0.7397415295475636,0.043104814068759476,4473.4,0.2531177149582418
2014,NH,Industrial,11.93,3342,1969064,234900,589.1873129862358,17673.2,6536.8,2242.6,761.8,0.7397415295475636,0.043104814068759476,4473.4,0.2531177149582418
2014,NH,Residential,17.53,606883,4510487,790656,7.432218401240437,17673.2,6536.8,2242.6,761.8,0.7397415295475636,0.043104814068759476,4473.4,0.2531177149582418
2014,NH,Transportation,0.0,0,0,0,,17673.2,6536.8,2242.6,761.8,0.7397415295475636,0.043104814068759476,4473.4,0.2531177149582418
2014,NJ,Commercial,13.15,511335,38154090,5015629,74.61662119745372,77594.4,33696.4,1088.4,805.6000000000001,0.8685265947027107,0.01038219252935779,28422.8,0.3662996298701968
2014,NJ,Industrial,11.38,12313,7516616,855757,610.4617883537725,77594.4,33696.4,1088.4,805.6000000000001,0.8685265947027107,0.01038219252935779,28422.8,0.3662996298701968
2014,NJ,Residential,15.78,3470874,27892582,4400228,8.036183969801266,77594.4,33696.4,1088.4,805.6000000000001,0.8685265947027107,0.01038219252935779,28422.8,0.3662996298701968
2014,NJ,Transportation,10.43,6,302790,31575,50465.0,77594.4,33696.4,1088.4,805.6000000000001,0.8685265947027107,0.01038219252935779,28422.8,0.3662996298701968
2014,NM,Commercial,10.27,139873,8976354,921898,64.17503020597256,32288.0,3458.4,12187.6,2126.9999999999995,0.21422200198216057,0.0658758671952428,13841.599999999999,0.4286917740336967
2014,NM,Industrial,6.61,9112,7526898,497592,826.0423617208078,32288.0,3458.4,12187.6,2126.9999999999995,0.21422200198216057,0.0658758671952428,13841.599999999999,0.4286917740336967
2014,NM,Residential,12.28,869875,6611970,812034,7.6010576232217275,32288.0,3458.4,12187.6,2126.9999999999995,0.21422200198216057,0.0658758671952428,13841.599999999999,0.4286917740336967
2014,NM,Transportation,0.0,0,0,0,,32288.0,3458.4,12187.6,2126.9999999999995,0.21422200198216057,0.0658758671952428,13841.599999999999,0.4286917740336967
2014,NV,Commercial,9.47,157984,9418091,892029,59.61420776787523,41940.8,3177.4,16959.4,2343.8,0.15151833059932093,0.055883531072368674,16517.4,0.3938265364513791
2014,NV,Industrial,7.12,3691,13732695,977320,3720.589271200217,41940.8,3177.4,16959.4,2343.8,0.15151833059932093,0.055883531072368674,16517.4,0.3938265364513791
2014,NV,Residential,12.93,1110535,11916521,1541121,10.730432629318301,41940.8,3177.4,16959.4,2343.8,0.15151833059932093,0.055883531072368674,16517.4,0.3938265364513791
2014,NV,Transportation,9.25,1,8299,768,8299.0,41940.8,3177.4,16959.4,2343.8,0.15151833059932093,0.055883531072368674,16517.4,0.3938265364513791
2014,NY,Commercial,16.12,1045571,76540813,12340776,73.20479718737417,161616.4,51423.2,21977.2,3910.7999999999997,0.6363611613672869,0.02419803930789202,52998.600000000006,0.3279283538056782
2014,NY,Industrial,6.58,7862,18002976,1184255,2289.8722971254133,161616.4,51423.2,21977.2,3910.7999999999997,0.6363611613672869,0.02419803930789202,52998.600000000006,0.3279283538056782
2014,NY,Residential,20.07,7046829,49974914,10031316,7.091830098332172,161616.4,51423.2,21977.2,3910.7999999999997,0.6363611613672869,0.02419803930789202,52998.600000000006,0.3279283538056782
2014,NY,Transportation,13.82,6,2853210,394180,475535.0,161616.4,51423.2,21977.2,3910.7999999999997,0.6363611613672869,0.02419803930789202,52998.600000000006,0.3279283538056782
2014,OH,Commercial,9.83,619293,47004594,4618293,75.90041224428502,126026.0,39992.0,22268.4,1033.0,0.6346626886515481,0.00819672131147541,56833.200000000004,0.45096408677574473
2014,OH,Industrial,6.77,19209,50829251,3440917,2646.1164558279975,126026.0,39992.0,22268.4,1033.0,0.6346626886515481,0.00819672131147541,56833.200000000004,0.45096408677574473
2014,OH,Residential,12.5,4882159,52804334,6598181,10.815775151935854,126026.0,39992.0,22268.4,1033.0,0.6346626886515481,0.00819672131147541,56833.200000000004,0.45096408677574473
2014,OH,Transportation,8.78,2,41534,3646,20767.0,126026.0,39992.0,22268.4,1033.0,0.6346626886515481,0.00819672131147541,56833.200000000004,0.45096408677574473
2014,OK,Commercial,8.09,275276,20448774,1654314,74.2846234324823,96192.8,12763.8,34090.2,7674.6,0.2653795294450312,0.07978351810114687,38138.600000000006,0.396480817691137
2014,OK,Industrial,5.85,18238,17773456,1038884,974.5287860511021,96192.8,12763.8,34090.2,7674.6,0.2653795294450312,0.07978351810114687,38138.600000000006,0.396480817691137
2014,OK,Residential,10.03,1710352,23351144,2343199,13.652829359102688,96192.8,12763.8,34090.2,7674.6,0.2653795294450312,0.07978351810114687,38138.600000000006,0.396480817691137
2014,OK,Transportation,0.0,0,0,0,,96192.8,12763.8,34090.2,7674.6,0.2653795294450312,0.07978351810114687,38138.600000000006,0.396480817691137
2014,OR,Commercial,8.75,229832,16039418,1403691,69.78757527237286,63536.8,6981.6,22350.2,6931.4,0.21976555319122146,0.10909268329535009,7682.2,0.12090945719645936
2014,OR,Industrial,5.97,23356,12654475,755416,541.8083147799281,63536.8,6981.6,22350.2,6931.4,0.21976555319122146,0.10909268329535009,7682.2,0.12090945719645936
2014,OR,Residential,10.47,1669124,18617613,1948732,11.154122162283928,63536.8,6981.6,22350.2,6931.4,0.21976555319122146,0.10909268329535009,7682.2,0.12090945719645936
2014,OR,Transportation,9.21,4,23447,2160,5861.75,63536.8,6981.6,22350.2,6931.4,0.21976555319122146,0.10909268329535009,7682.2,0.12090945719645936
2014,PA,Commercial,9.73,690549,43347918,4215606,62.773123992649325,170893.2,80720.2,77.4,3014.8,0.9446859207973166,0.017641427511451598,57038.6,0.333767522639871
2014,PA,Industrial,7.41,24222,48317693,3580987,1994.7854429857155,170893.2,80720.2,77.4,3014.8,0.9446859207973166,0.017641427511451598,57038.6,0.333767522639871
2014,PA,Residential,13.32,5289211,54195335,7217831,10.246393082068384,170893.2,80720.2,77.4,3014.8,0.9446859207973166,0.017641427511451598,57038.6,0.333767522639871
2014,PA,Transportation,7.65,5,826752,63255,165350.4,170893.2,80720.2,77.4,3014.8,0.9446859207973166,0.017641427511451598,57038.6,0.333767522639871
2014,RI,Commercial,14.56,58346,3657679,532579,62.68945600383917,7240.4,3563.4,15.2,21.4,0.9843102591017071,0.002955637810065742,3519.6,0.48610574001436385
2014,RI,Industrial,12.86,1884,887150,114111,470.8864118895966,7240.4,3563.4,15.2,21.4,0.9843102591017071,0.002955637810065742,3519.6,0.48610574001436385
2014,RI,Residential,17.17,438879,3070347,527116,6.995884970572755,7240.4,3563.4,15.2,21.4,0.9843102591017071,0.002955637810065742,3519.6,0.48610574001436385
2014,RI,Transportation,14.89,1,27928,4158,27928.0,7240.4,3563.4,15.2,21.4,0.9843102591017071,0.002955637810065742,3519.6,0.48610574001436385
