Year,STATE,RESIDENTIAL - Revenues (Thousand Dollars),RESIDENTIAL - Sales (Megawatthours),RESIDENTIAL - Customers (Count),RESIDENTIAL - Price (Cents/kWh),COMMERCIAL - Revenues (Thousand Dollars),COMMERCIAL - Sales (Megawatthours),COMMERCIAL - Customers (Count),COMMERCIAL - Price (Cents/kWh),INDUSTRIAL - Revenues (Thousand Dollars),INDUSTRIAL - Sales (Megawatthours),INDUSTRIAL - Customers (Count),INDUSTRIAL - Price (Cents/kWh),TRANSPORTATION - Revenues (Thousand Dollars),TRANSPORTATION - Sales (Megawatthours),TRANSPORTATION - Customers (Count),TRANSPORTATION - Price (Cents/kWh),TOTAL - Revenues (Thousand Dollars),TOTAL - Sales (Megawatthours),TOTAL - Customers (Count),TOTAL - Price (Cents/kWh)
2024,KY,3335308,26085709,2077215,12.79,2335162,20314415,327448,11.5,1819860,28005747,4846,6.5,0,0,0,0.0,7490330,74405871,2409509,10.07
2024,LA,3633012,30974840,2147745,11.73,2473116,23651891,301288,10.46,2286240,40720072,18203,5.61,1157,10026,1,11.54,8393525,95356829,2467237,8.8
2024,MA,5867779,19992635,2924535,29.35,4908122,23489390,438014,20.9,1026914,5645295,10353,18.19,26840,291255,2,9.22,11829654,49418575,3372904,23.94
2024,MD,4880099,27327356,2451753,17.86,3600554,27773337,261469,12.96,350493,3502025,9286,10.01,48024,415970,5,11.55,8879169,59018688,2722513,15.04
2024,ME,1190411,4901492,742549,24.29,750189,4117961,111084,18.22,289438,2322138,1925,12.46,0,0,0,0.0,2230038,11341591,855558,19.66
2024,MI,6466084,33504932,4516367,19.3,5209956,37190845,564574,14.01,2336236,28289760,5762,8.26,772,5477,2,14.09,14013047,98991014,5086705,14.16
2024,MN,3408955,22062758,2581180,15.45,2729308,22468437,308460,12.15,1831204,20015581,9410,9.15,1949,15332,1,12.71,7971415,64562108,2899051,12.35
2024,MO,4548192,35226895,2933914,12.91,3034339,29569769,403957,10.26,1019598,12953946,9443,7.87,2528,25424,2,9.94,8604657,77776034,3347316,11.06
2024,MS,2490447,18593201,1340459,13.39,1746176,14172165,246813,12.32,1084653,15919246,12415,6.81,0,0,0,0.0,5321277,48684612,1599687,10.93
2024,MT,721809,5700241,557432,12.66,597479,5034278,123483,11.87,366589,4832494,11624,7.59,0,0,0,0.0,1685878,15567013,692539,10.83
2024,NC,8726608,61744942,5067762,14.13,5229699,49524269,751027,10.56,1990135,25622927,8930,7.77,1274,12388,1,10.28,15947716,136904526,5827720,11.65
2024,ND,565146,4910755,397839,11.51,812797,11309334,77191,7.19,981888,13549609,10864,7.25,0,0,0,0.0,2359831,29769698,485894,7.93
2024,NE,1198161,10391014,905415,11.53,1081451,12885125,161501,8.39,912995,11914906,64672,7.66,0,0,0,0.0,3192606,35191045,1131588,9.07
2024,NH,1134518,4847443,652608,23.4,796349,4105167,112277,19.4,317952,1961351,3116,16.21,0,0,0,0.0,2248819,10913961,768001,20.61
2024,NJ,5743701,29692962,3735638,19.34,5431275,37086504,540221,14.64,757878,6351180,11251,11.93,44527,400778,7,11.11,11977380,73531424,4287117,16.29
2024,NM,1043283,7347620,936098,14.2,1011137,9592789,148104,10.54,725316,13355945,9256,5.43,0,0,0,0.0,2779736,30296354,1093458,9.18
2024,NV,2194081,14631493,1311755,15.0,1453207,14259288,177740,10.19,1016117,11766220,4786,8.64,814,7638,1,10.66,4664219,40664639,1494282,11.47
